id,meanLB,meanLBErr,meanLBBias,meanLBConfiIn0,meanLBConfiIn1,z,massBH,nObjects,zmax
23,5.89977272824223e+45,2.68124471435775e+44,1.04595916825011e+41,5.32814952797923e+45,6.50695633835629e+45,0.5,8.4,200,0.59960001707077
24,7.41042675655184e+45,2.94866499803802e+44,-3.34451365621018e+42,6.77530144815954e+45,8.09645131989547e+45,0.6,8.4,175,0.699899971485138
25,9.36769134895684e+45,4.33542875677185e+44,-6.42987493339009e+42,8.47322020042318e+45,1.04889885333383e+46,0.7,8.4,159,0.799199998378754
26,1.08491003498307e+46,3.45937332639652e+44,-2.91637774887253e+42,1.0102281088994e+46,1.16606158230514e+46,0.8,8.4,125,0.899800002574921
27,1.35796632049738e+46,4.3799360046961e+44,-4.36647976091673e+42,1.26124884585825e+46,1.45640877753223e+46,0.9,8.4,102,1
28,1.57505993339435e+46,5.581517296125e+44,3.0215758501281e+42,1.45810591712215e+46,1.71013731015158e+46,1,8.4,95,1.09899997711182
29,1.80811407988008e+46,5.03100505588041e+44,1.74917346537615e+43,1.69886609102091e+46,1.92335598457743e+46,1.1,8.4,107,1.1985000371933
30,2.86904094567359e+45,2.03833936631631e+44,7.34698543241312e+42,2.47316357156617e+45,3.36656462067385e+45,0.3,8.5,153,0.399300009012222
31,4.38011827243173e+45,2.76903792832798e+44,1.24242433914824e+43,3.80480704544529e+45,5.0243507207612e+45,0.4,8.5,155,0.499399989843369
32,5.9660273375463e+45,3.29408063316102e+44,-3.07000500940212e+42,5.25976830229921e+45,6.77406578059837e+45,0.5,8.5,196,0.59960001707077
33,7.65541900495852e+45,3.43188063861448e+44,-5.76321167018444e+42,6.93554855656152e+45,8.46086162804455e+45,0.6,8.5,179,0.699299991130829
34,1.20228652160894e+46,3.65834150316665e+44,-4.8908324728186e+42,1.1246754115329e+46,1.2848541958266e+46,0.8,8.5,188,0.899800002574921
35,1.37489430243217e+46,4.83085117274793e+44,1.73304410395744e+43,1.27377883208606e+46,1.483513072201e+46,0.9,8.5,151,0.999300003051758
36,1.54832715713972e+46,4.92567497314425e+44,1.87642943714911e+43,1.45075649123576e+46,1.66792282289091e+46,1,8.5,141,1.09949994087219
37,1.69195678244808e+46,4.33137289704425e+44,-1.22159135570271e+43,1.59148223722847e+46,1.78786651281945e+46,1.1,8.5,109,1.19980001449585
38,2.03826464461583e+46,6.89301917138132e+44,-3.23581629017203e+42,1.89497424058584e+46,2.19978563299508e+46,1.2,8.5,102,1.29939997196198
39,2.38133390974241e+46,8.21401028164208e+44,-1.74871840803609e+42,2.21456889271038e+46,2.57866699929375e+46,1.3,8.5,73,1.39789998531342
40,2.57349789474045e+46,9.79763736074996e+44,1.26966193358738e+43,2.35827281463294e+46,2.81158767830002e+46,1.4,8.5,65,1.49909996986389
41,2.64632812490516e+46,7.14267863125542e+44,3.11264842705479e+43,2.5034305750524e+46,2.82095298380738e+46,1.5,8.5,65,1.59479999542236
42,7.69394729744784e+45,3.75567499114542e+44,5.47323042115815e+42,6.87541787075235e+45,8.55812813603126e+45,0.6,8.6,217,0.698400020599365
43,1.0521092176855e+46,3.72364501271007e+44,-7.59558923481103e+41,9.72627491258425e+45,1.13564949325163e+46,0.7,8.6,180,0.799799978733063
44,1.28991455400714e+46,4.61740454997759e+44,-1.05708966315953e+43,1.19102115591123e+46,1.39446500613397e+46,0.8,8.6,226,0.899600028991699
45,1.44485464890041e+46,4.56075998804031e+44,-7.32489023737982e+42,1.34275017971162e+46,1.54582413087915e+46,0.9,8.6,195,0.999499976634979
46,1.68658237285808e+46,4.74465808195448e+44,5.74297362555536e+42,1.58124590740614e+46,1.79501386825904e+46,1,8.6,197,1.09969997406006
47,1.79937990084227e+46,4.33149523234322e+44,-4.03340636450297e+42,1.70695910737247e+46,1.89683187967356e+46,1.1,8.6,194,1.19910001754761
48,2.12672561954918e+46,6.22820794670163e+44,4.32767132113301e+42,1.99687222565146e+46,2.2737507392146e+46,1.2,8.6,160,1.2992000579834
49,2.26742778034626e+46,6.10728223804505e+44,-1.16264184847219e+43,2.1349570163199e+46,2.41014085071344e+46,1.3,8.6,116,1.39869999885559
50,2.79109130939095e+46,9.84391135732066e+44,5.00337670421149e+43,2.58231652827046e+46,3.01823119733726e+46,1.4,8.6,98,1.49829995632172
51,2.9458117192245e+46,8.49246879321928e+44,1.0838094236069e+43,2.78019922487654e+46,3.15048185821345e+46,1.5,8.6,96,1.59990000724792
52,3.25746020170566e+46,1.09753836116663e+45,-1.97457898558377e+43,3.01708902090411e+46,3.50596293466353e+46,1.6,8.6,80,1.69900000095367
53,3.88108231446031e+46,1.35048641326873e+45,-7.41680036791683e+43,3.58800006904214e+46,4.19080325749393e+46,1.7,8.6,65,1.79900002479553
54,4.56294372534328e+45,3.42916621872239e+44,-1.03176147871337e+42,3.89620141629748e+45,5.423596441698e+45,0.4,8.7,137,0.498800009489059
55,6.33017446576364e+45,3.15579748839044e+44,1.76110502985412e+42,5.68859190423446e+45,7.06046773651226e+45,0.5,8.7,163,0.599500000476837
56,1.13176055375549e+46,4.03102640654221e+44,-1.4258639908693e+43,1.04453965812433e+46,1.22395626203037e+46,0.7,8.7,244,0.799799978733063
57,1.30957078991034e+46,4.27793919652677e+44,1.18252429149452e+43,1.22001111923087e+46,1.41008351461059e+46,0.8,8.7,233,0.899900019168854
58,1.58981812760035e+46,5.38638849230098e+44,1.66221346279878e+43,1.47253789158761e+46,1.72154742290822e+46,0.9,8.7,241,1
59,1.75620071775296e+46,4.75057850371137e+44,5.20932028628631e+42,1.65308338801854e+46,1.86460553769936e+46,1,8.7,242,1.09940004348755
60,1.81775979733327e+46,4.13595818785809e+44,-1.03078259665205e+43,1.72312977908967e+46,1.90926983280447e+46,1.1,8.7,235,1.19939994812012
61,2.18598444238213e+46,6.28475359097192e+44,-1.57448978892701e+43,2.05422979790858e+46,2.33560887619913e+46,1.2,8.7,261,1.29999995231628
62,2.46896916039254e+46,6.45320089178156e+44,-2.45957910478224e+43,2.32866952511068e+46,2.61484082480711e+46,1.3,8.7,191,1.39909994602203
63,2.78437035592271e+46,7.93590506227065e+44,-2.19284464242952e+42,2.6194062917383e+46,2.96907657781297e+46,1.4,8.7,168,1.4996999502182
64,3.16436459013711e+46,8.4763336162934e+44,4.36256024371727e+42,2.98078974485051e+46,3.36486775620742e+46,1.5,8.7,169,1.59899997711182
65,3.7673074261983e+46,1.01618869839741e+45,2.06931505136391e+43,3.55894436689256e+46,3.99998539187844e+46,1.6,8.7,133,1.69990003108978
66,4.12934979254146e+46,2.00725339463197e+45,9.69351890082272e+41,3.75711795801783e+46,4.63104137420396e+46,1.7,8.7,113,1.79929995536804
67,4.32574293579832e+46,1.42701105601897e+45,7.57092708217647e+42,4.03576668448331e+46,4.66647776475527e+46,1.8,8.7,103,1.89979994297028
68,4.37669914410095e+46,1.96528395439305e+45,-1.77421922302244e+43,3.93731593426792e+46,4.81303838822599e+46,1.9,8.7,69,1.99790000915527
69,1.22628965022346e+46,6.36023115337214e+44,1.01316320369569e+43,1.09656354093813e+46,1.38328786840504e+46,0.7,8.8,200,0.799899995326996
70,1.45707757814477e+46,5.79960786174767e+44,1.04631825886308e+43,1.32924888886132e+46,1.59372466596644e+46,0.8,8.8,232,0.898999989032745
71,1.74412029220813e+46,5.68744586030032e+44,-1.25655771243789e+43,1.6162077303016e+46,1.87681380659828e+46,0.9,8.8,289,1
72,1.92778139541545e+46,5.32869302573537e+44,-2.59836272760016e+43,1.80828053846303e+46,2.05008307728423e+46,1,8.8,287,1.09969997406006
73,2.14142461326403e+46,5.88481745989066e+44,-5.56288894491803e+42,2.01349945492573e+46,2.28445519577044e+46,1.1,8.8,312,1.19980001449585
74,2.29336103697218e+46,5.7656388923133e+44,-8.53447648811267e+41,2.17129247218346e+46,2.42954591105465e+46,1.2,8.8,308,1.29970002174377
75,2.63949853078917e+46,6.18032168886498e+44,1.90003940006137e+42,2.50567170313014e+46,2.78550923177864e+46,1.3,8.8,261,1.39989995956421
76,2.97181171159728e+46,7.99992555499996e+44,-4.40692495879995e+42,2.80176270355251e+46,3.14207286690416e+46,1.4,8.8,229,1.5
77,3.14807482437517e+46,6.35026654557582e+44,-9.93242057202064e+41,3.01178436105638e+46,3.29676801900181e+46,1.5,8.8,271,1.59979999065399
78,3.68023874305272e+46,7.82692359711592e+44,1.70966357749538e+43,3.51587110845267e+46,3.85903067040399e+46,1.6,8.8,224,1.69990003108978
79,4.10394307612274e+46,1.19654243034736e+45,2.33361032126981e+43,3.84928620462904e+46,4.3911744465019e+46,1.7,8.8,195,1.79960000514984
80,4.47014023536741e+46,1.30564060837505e+45,1.8608422978699e+43,4.18839476659048e+46,4.78079031044694e+46,1.8,8.8,185,1.8967000246048
81,5.98092412000607e+46,2.96118757267722e+45,7.08520378735474e+43,5.37370172575245e+46,6.70285286809607e+46,2,8.8,70,2.09859991073608
82,1.54125045879046e+46,6.41953913460988e+44,-3.65680561939345e+42,1.40508034142023e+46,1.69073512592116e+46,0.8,8.9,212,0.8992999792099
83,1.71898164828741e+46,5.82257154383484e+44,-2.02946351705877e+42,1.59088780186549e+46,1.85104288603988e+46,0.9,8.9,244,1
84,1.96464570543172e+46,5.487154112745e+44,5.64150552539191e+42,1.84350050841013e+46,2.09460797708963e+46,1,8.9,328,1.09940004348755
85,2.11243002582361e+46,5.20498100738175e+44,-3.71133503622892e+42,2.0023386561918e+46,2.23667499635753e+46,1.1,8.9,333,1.19969999790192
86,2.51980509018164e+46,6.13939563488826e+44,3.04991648772952e+43,2.39023538289185e+46,2.66119007873375e+46,1.2,8.9,380,1.29990005493164
87,2.70518702893314e+46,6.33647156604275e+44,2.48619502998355e+43,2.56815562390896e+46,2.85347391863199e+46,1.3,8.9,339,1.3996000289917
88,3.11080474099536e+46,7.04090988049534e+44,-2.32807407561041e+43,2.9517143538583e+46,3.26968529793238e+46,1.4,8.9,331,1.5
89,3.36188179984074e+46,7.13238202434642e+44,-8.02107945566303e+42,3.20095102073859e+46,3.51899635257209e+46,1.5,8.9,363,1.59979999065399
90,3.72482243749128e+46,8.24225350382975e+44,6.48845139025108e+42,3.54632348755826e+46,3.9160837761869e+46,1.6,8.9,248,1.69910001754761
91,4.25177407197978e+46,1.02757238020354e+45,1.97463968228921e+42,4.0232575288885e+46,4.48296821521554e+46,1.7,8.9,256,1.79990005493164
92,4.75693863014624e+46,1.56175676286233e+45,6.17945604064923e+42,4.43377584147616e+46,5.13019897304528e+46,1.8,8.9,192,1.89950001239777
93,5.68402917809404e+46,2.75879153754409e+45,1.67851206003044e+43,5.11325311936838e+46,6.31490538195334e+46,1.9,8.9,163,1.99940001964569
94,5.71562809808018e+46,2.58509120766878e+45,-3.82002073502949e+43,5.16878228689796e+46,6.3243106793373e+46,2,8.9,92,2.09960007667542
95,2.02728221523203e+46,9.14548055928839e+44,8.90490988322702e+42,1.83733865446765e+46,2.2500121340664e+46,0.9,8.99999999999999,241,0.999899983406067
96,2.04590110774959e+46,5.43320308312131e+44,2.09133961950059e+43,1.92905018702387e+46,2.17693359681179e+46,1,8.99999999999999,309,1.09990000724792
97,2.38633183170716e+46,5.6838168891055e+44,-1.32315807964544e+43,2.26235755368682e+46,2.51280251569641e+46,1.1,8.99999999999999,385,1.19949996471405
98,2.58574635147316e+46,5.71812242807581e+44,1.59282523385788e+41,2.4576772346321e+46,2.71549949260274e+46,1.2,8.99999999999999,398,1.29980003833771
99,2.94352900878237e+46,7.44939187155486e+44,1.68065893036004e+43,2.78200037589928e+46,3.11153143438331e+46,1.3,8.99999999999999,376,1.39979994297028
100,3.31584492264925e+46,7.97329242607271e+44,-7.03671553327237e+41,3.15058871323394e+46,3.51248400374441e+46,1.4,8.99999999999999,401,1.49989998340607
101,3.73485579410098e+46,8.58927410066349e+44,9.43069478761367e+42,3.55276592141669e+46,3.92996853864866e+46,1.5,8.99999999999999,415,1.59959995746613
102,3.96699852510702e+46,9.04312662704532e+44,-1.83844164239028e+42,3.76794901397644e+46,4.17749365246462e+46,1.6,8.99999999999999,360,1.69990003108978
103,4.4961970645125e+46,1.06784083625755e+45,2.21048422676423e+43,4.26971451433347e+46,4.74256158557725e+46,1.7,8.99999999999999,325,1.79990005493164
104,5.20917441947417e+46,1.25870495782336e+45,-1.1697455464637e+43,4.93184350957743e+46,5.49165445903302e+46,1.8,8.99999999999999,270,1.89999997615814
105,5.4573678332879e+46,1.63247939314945e+45,1.25901727581562e+43,5.08913515903184e+46,5.84132377324644e+46,1.9,8.99999999999999,212,1.99930000305176
106,6.39617948482552e+46,2.58748352306113e+45,5.20891690517832e+42,5.86008896423211e+46,7.0105821126721e+46,2,8.99999999999999,130,2.09949994087219
107,7.00966396679325e+46,3.64934871114491e+45,-1.03894391949209e+44,6.21945694723152e+46,7.88375274586505e+46,2.1,8.99999999999999,122,2.19989991188049
108,2.40366164985246e+46,9.03821915811323e+44,-1.96680448882191e+43,2.2121244187813e+46,2.60665674882248e+46,1,9.09999999999999,280,1.09949994087219
109,2.59725071644379e+46,9.00584105140615e+44,5.18961973503432e+42,2.40492367465012e+46,2.80193450709712e+46,1.1,9.09999999999999,330,1.19990003108978
110,2.81871305982202e+46,8.0207731767639e+44,1.98576524412187e+43,2.65618292797657e+46,3.01587388341433e+46,1.2,9.09999999999999,392,1.29999995231628
111,3.52066751057026e+46,1.02048204401523e+45,6.78392347178705e+42,3.29897008242993e+46,3.75766144278358e+46,1.3,9.09999999999999,388,1.39999997615814
112,3.65377712441391e+46,9.36234017458902e+44,-3.93792246299957e+42,3.44523867489809e+46,3.85870691924357e+46,1.4,9.09999999999999,400,1.5
113,3.9106124740831e+46,9.42454479393782e+44,2.82478482515709e+42,3.70164663585241e+46,4.12047149914382e+46,1.5,9.09999999999999,438,1.59969997406006
114,4.20233195108367e+46,9.90094845178964e+44,-3.51282011395814e+43,3.99251372859541e+46,4.4294493570946e+46,1.6,9.09999999999999,394,1.69980001449585
115,4.76418683956187e+46,1.25988978799436e+45,-3.31718708625884e+43,4.48604965509418e+46,5.0476010687802e+46,1.7,9.09999999999999,369,1.79929995536804
116,5.49630784709976e+46,1.81164179350057e+45,2.85244665336176e+43,5.13063249080989e+46,5.9468178503305e+46,1.8,9.09999999999999,336,1.89999997615814
117,5.93211392838257e+46,1.79380098134242e+45,5.72866111135207e+43,5.54334182873701e+46,6.33738140758163e+46,1.9,9.09999999999999,223,2
118,6.63781355024186e+46,2.32601245258972e+45,1.87955084471247e+43,6.13976656609052e+46,7.19160692063347e+46,2,9.09999999999999,168,2.09980010986328
119,6.84582500078079e+46,2.2005638026471e+45,7.94969059431209e+43,6.38793146657454e+46,7.37035982680039e+46,2.1,9.09999999999999,137,2.19849991798401
120,7.7508539619611e+46,3.79564872561024e+45,-9.47072251084424e+43,6.97921700054344e+46,8.65907610420938e+46,2.2,9.09999999999999,104,2.29999995231628
121,9.29116143303456e+46,6.9474386002614e+45,3.92667469197014e+43,8.11414207235313e+46,1.11823046977281e+47,2.3,9.09999999999999,70,2.39809989929199
122,2.97621203387571e+46,1.12017291234295e+45,-2.53141248484374e+43,2.73912472049925e+46,3.22935551248091e+46,1.1,9.19999999999999,245,1.19939994812012
123,3.34715640076275e+46,1.09119647310763e+45,-4.88883768548209e+42,3.12771875283771e+46,3.60206162788943e+46,1.2,9.19999999999999,328,1.29939997196198
124,3.85447286034471e+46,1.31634730246701e+45,1.23716214090819e+43,3.57496693891316e+46,4.15742559119144e+46,1.3,9.19999999999999,349,1.39989995956421
125,3.94754662712411e+46,1.03075182134169e+45,4.47244754719279e+42,3.7266301981488e+46,4.19998765589933e+46,1.4,9.19999999999999,405,1.5
126,4.32294067889475e+46,1.36500931701462e+45,2.04958708547614e+43,4.02064759949725e+46,4.64366805096179e+46,1.5,9.19999999999999,413,1.59969997406006
127,4.70267891613645e+46,1.19413446718329e+45,2.57587747480667e+43,4.44415858326394e+46,4.98786780041544e+46,1.6,9.19999999999999,404,1.69969999790192
128,5.11897677907802e+46,1.48242516697449e+45,-2.45617223679802e+43,4.80611144687128e+46,5.45525267270217e+46,1.7,9.19999999999999,349,1.79960000514984
129,6.00895528602279e+46,1.84217277877717e+45,-1.49457533194408e+43,5.61483750623082e+46,6.42717314732349e+46,1.8,9.19999999999999,307,1.89950001239777
130,6.36962342342626e+46,1.9808496248104e+45,8.4665273110463e+43,5.92627927793282e+46,6.81502487213737e+46,1.9,9.19999999999999,263,2
131,6.57349386261652e+46,1.84779640032704e+45,5.9821443524423e+43,6.1888974879404e+46,7.01345132568622e+46,2,9.19999999999999,206,2.09850001335144
132,7.3771233486597e+46,2.90185199642241e+45,2.61685674023565e+42,6.78588838912037e+46,8.07106352864994e+46,2.1,9.19999999999999,150,2.19970011711121
133,8.18215076420139e+46,3.34360655705045e+45,1.06481584029035e+44,7.45460049090636e+46,8.95557661410211e+46,2.2,9.19999999999999,113,2.29970002174377
134,3.91137653813772e+46,1.34099497958545e+45,-1.25855938734275e+43,3.60585105739927e+46,4.21758368944259e+46,1.3,9.29999999999999,272,1.39939999580383
135,4.27733840273405e+46,1.40786979000453e+45,4.8948927122489e+43,3.97586867090091e+46,4.61558688314131e+46,1.4,9.29999999999999,316,1.49979996681213
136,4.66653458160559e+46,1.44347142382891e+45,-3.08518007901601e+43,4.3649279513168e+46,5.01982987649456e+46,1.5,9.29999999999999,377,1.59979999065399
137,5.33192088415668e+46,1.4729905752484e+45,1.04986900271952e+43,5.00640295778589e+46,5.66333750551565e+46,1.6,9.29999999999999,356,1.69980001449585
138,5.64738448422194e+46,1.73911116926613e+45,3.31765259891686e+43,5.26596975275134e+46,6.05584680348984e+46,1.7,9.29999999999999,323,1.79970002174377
139,6.24681820859115e+46,2.23899951271481e+45,3.98043943431102e+43,5.79035744667641e+46,6.78061427461813e+46,1.8,9.29999999999999,308,1.89989995956421
140,6.90756630941468e+46,2.31538848479801e+45,-4.96537623966267e+43,6.38571766695271e+46,7.44449376143898e+46,1.9,9.29999999999999,275,1.99880003929138
141,6.99490712863937e+46,1.95688683779458e+45,-4.24175277803344e+43,6.5607884000283e+46,7.43088690948142e+46,2,9.29999999999999,224,2.09999990463257
142,7.96663139167325e+46,2.98825705607446e+45,-7.64383427787618e+43,7.32939440495295e+46,8.64512313621539e+46,2.1,9.29999999999999,173,2.19959998130798
143,9.04373767412391e+46,3.66163415667099e+45,6.12910648904397e+43,8.28004429019315e+46,9.87630029272587e+46,2.2,9.29999999999999,142,2.29990005493164
144,1.03677433886876e+47,5.79015726755606e+45,2.48178445486084e+44,9.27650269984892e+46,1.18357519211807e+47,2.3,9.29999999999999,72,2.39869999885559
145,5.03374087853934e+46,2.05042767790432e+45,8.7614012147427e+43,4.57753888074651e+46,5.51315066244466e+46,1.5,9.39999999999999,272,1.59909999370575
146,5.43201214225393e+46,2.02191087402535e+45,1.43758324791806e+43,4.98881917077284e+46,5.92118023206709e+46,1.6,9.39999999999999,259,1.69840002059937
147,5.71829380594881e+46,2.0248166238107e+45,7.05839212610291e+43,5.27418406431857e+46,6.20852223865795e+46,1.7,9.39999999999999,313,1.79990005493164
148,6.53020890784651e+46,2.36301493638975e+45,-7.36592624014197e+43,6.02090562431679e+46,7.05450919114172e+46,1.8,9.39999999999999,263,1.8992999792099
149,7.53420302467762e+46,2.7324449382531e+45,1.74214238432993e+43,6.95353720660015e+46,8.16003148856976e+46,1.9,9.39999999999999,235,1.99950003623962
150,7.80990622175436e+46,2.9091670560784e+45,4.15604503120847e+43,7.20292195005989e+46,8.49863344982247e+46,2,9.39999999999999,216,2.09980010986328
151,8.36979193996766e+46,3.20946244786315e+45,9.08586825848889e+43,7.67583839050968e+46,9.09338842742881e+46,2.1,9.39999999999999,170,2.19889998435974
152,9.67228689670695e+46,7.15566452095086e+45,1.28603166339416e+42,8.47491632257515e+46,1.15387230824479e+47,2.2,9.39999999999999,145,2.29850006103516
153,1.01817503222712e+47,5.73725240562647e+45,1.90248665940114e+44,9.07147911739682e+46,1.16108130784233e+47,2.3,9.39999999999999,92,2.39969992637634
154,1.08115532513058e+47,5.41562888063762e+45,1.93051698228971e+44,9.74414228535777e+46,1.21609515573479e+47,2.4,9.39999999999999,76,2.49850010871887
155,6.1878240843785e+46,2.65968582626082e+45,9.39945419712568e+42,5.65424722713507e+46,6.82509903604957e+46,1.7,9.49999999999999,256,1.79929995536804
156,6.86586247783178e+46,3.35898469548044e+45,-4.99989531649735e+43,6.16522885155421e+46,7.69475989144365e+46,1.8,9.49999999999999,219,1.8996000289917
157,8.35942729608239e+46,3.93434263500307e+45,1.49909657956347e+44,7.56201385074887e+46,9.31064388678532e+46,1.9,9.49999999999999,215,1.99979996681213
158,9.15908359284375e+46,4.48043641984291e+45,6.47477426230547e+43,8.32750039852106e+46,1.03235039510377e+47,2,9.49999999999999,214,2.09969997406006
159,9.29825724013797e+46,4.41889970446692e+45,-1.76156487826288e+44,8.35901741681528e+46,1.03798683700671e+47,2.1,9.49999999999999,159,2.19959998130798
160,1.03528059605169e+47,3.89806505097938e+45,7.1788566879204e+43,9.50440121963852e+46,1.12363592453924e+47,2.3,9.49999999999999,99,2.39949989318848
161,1.15141066187341e+47,5.90646877494826e+45,1.137284051086e+44,1.02876860862353e+47,1.28957082310633e+47,2.3,9.59999999999999,72,2.39800000190735
162,1.38233574779954e+47,6.72621712250305e+45,-1.99799815259855e+44,1.24247220609952e+47,1.54012697552663e+47,2.4,9.59999999999999,80,2.49869990348816
